Stock A,Stock B,t-score,p-value,1% CV,5% CV,10% CV,Hurst Exponent,Half-life,Times Crossing the Mean,Dummy Same Label,Dummy Same Sector
HST,CTSH,-3.466310645115275,0.035501029807781435,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2377002415234988,2332.160605407769,18,0,0
HPQ,CTSH,-3.4368675300466225,0.038417503655929316,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.22633326932281414,2002.9137893116272,19,0,1
HII,CTSH,-3.8225235990869453,0.012646904253865615,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.21950658730217928,-3335.9040288993847,37,0,0
IPG,CTSH,-3.4346138112660087,0.03864880430326193,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.24287902733091665,3405.767021353056,14,0,0
JBHT,CTSH,-3.481920797834607,0.0340320769313196,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.22148119593176024,1261.6475567183334,20,0,0
MU,CTSH,-4.299201258403277,0.002567773928537439,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2142563457536291,354.57669405084897,63,0,1
NUE,CTSH,-3.707624271443233,0.017915912521219452,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.21481518199409969,163.39176449328468,41,0,0
NVDA,CTSH,-3.8401400389433418,0.011974091401449937,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.21043514009519196,239.48120559480927,31,0,1
OMC,CTSH,-4.465626266960002,0.001394003561186868,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2476779506927743,163.35299815361952,18,0,0
PKG,CTSH,-3.5669529232483894,0.02690399317783571,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2512646850111127,835.766047664223,35,0,0
PNR,CTSH,-3.6867220747546905,0.019058091490760685,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2296822936850649,1242.3116299437474,14,0,0
QRVO,CTSH,-4.7577495382584765,0.0004476682369733039,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.20833362437044425,25.261406815647522,46,0,1
QCOM,CTSH,-3.4297210940756426,0.039154971134561886,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2928959378570197,162.77689957029213,21,0,1
UPS,CTSH,-4.655752117470584,0.0006715776894764995,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2768873355829672,1110.6322575713898,42,0,0
WMB,CTSH,-3.614559656929128,0.02350330931042121,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.241324700465588,1698.6669766707969,16,0,0
CTRA,CL,-3.885103285629024,0.0103988994298483,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2286648000839771,7553.9125183396,49,0,0
CL,XRAY,-3.58029298209322,0.025910914132971724,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.22650999845415026,337.203580704015,15,0,0
CL,FFIV,-3.585303940948529,0.025546109790915667,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.26302859621290603,9428.283501231801,12,0,0
IPG,CL,-3.9151938671740685,0.009450789535917992,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.24684029066560526,-26400.22585597025,31,0,0
CL,MOS,-3.992349978202266,0.0073637196171097785,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2575018738750202,-7528.9503177131655,16,0,0
QCOM,CL,-3.342167853426952,0.049192135128500916,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2704918032497854,113.32692719960423,23,0,0
VMC,CL,-3.363378309344552,0.046583946332209816,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2335074713821348,1225.37962691419,51,0,0
WMB,CL,-3.746015085920325,0.01597341177728944,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2379228272949325,3643.266105118711,42,0,0
CTRA,CMCSA,-3.6530966392966415,0.02102896541114836,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2135119434517152,6913.047131908611,51,0,0
D,CMCSA,-4.094648202217246,0.005238724353651482,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.21644033580806946,2282.849676899126,72,0,0
XOM,CMCSA,-3.4313231416224426,0.03898862580044808,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2435581286563256,730.5253722648683,33,0,0
CMCSA,HSY,-3.4818077148752735,0.0340425304908402,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.21560536703314775,-1311.0065538772458,31,0,0
HOLX,CMCSA,-3.7339874621802536,0.016561063582849568,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2272984973385736,176.18713538221218,40,0,0
IPG,CMCSA,-3.431511158175102,0.03896914240008115,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2416594086837367,-1166.207775287734,35,0,1
NEM,CMCSA,-3.498384164133833,0.03253889766938545,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.22568224002131346,83.66896992445129,41,0,0
CMCSA,PEP,-3.7251235538403167,0.017006207512567602,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2247152083656741,-1865.201410559196,45,0,0
QCOM,CMCSA,-3.3675761724793443,0.04608155331393075,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2808312368251307,647.7037925613893,21,0,0
WMB,CMCSA,-3.5973209783144235,0.024689217391043558,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2237040979127514,6174.983786678163,62,0,0
FANG,CMA,-3.6529897376039,0.0210355035769285,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.21001637866884024,359.50206916892034,54,0,0
EOG,CMA,-3.370420930431525,0.04574365491716771,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2370951126491841,298.860617443247,33,0,0
XOM,CMA,-3.416477949095567,0.04055296119832102,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2662031257451025,144.61219341450658,27,0,0
GPS,CMA,-3.5291446620093607,0.029897764188122768,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.26808478853270395,-2601.5835639225197,19,0,0
HPE,CMA,-4.167392303211898,0.00408519916088848,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2597787042380236,-2650.693654897047,20,0,0
HST,CMA,-3.62559416858326,0.02277032081899553,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2613305451601295,-2931.332348879647,14,0,0
HII,CMA,-3.5542574905263877,0.027879238758612142,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.22424454272494,-23764.481439968007,35,0,0
IPG,CMA,-3.4834118553662683,0.03389449518984584,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2588304196447773,-2411.877815127916,14,0,0
JBHT,CMA,-3.454475568830376,0.03665009140759457,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.1875354042749588,585.9836582019549,65,0,0
MU,CMA,-3.9445659286250416,0.008600743395095905,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2224018897216408,954.1031776086397,47,0,0
NTRS,CMA,-4.351200282200836,0.0021277999824589593,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2314512074233709,551.5930197528838,32,0,1
NUE,CMA,-4.500915395683871,0.00122043350283864,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.21204451391854576,503.95406078885634,13,0,0
QRVO,CMA,-3.588884220919644,0.0252881753937652,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2399730728014642,53.234286867078076,27,0,0
RF,CMA,-4.093844392157564,0.005252981418120543,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.26741797346349405,-2225.190422205662,13,1,1
UPS,CMA,-3.8670097214012764,0.011009064435253449,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.27003891795584234,480.52325102370787,43,0,0
