Asset A,Asset B,Normal SDD,SDD,Dummy Same Sector
BTC,CNC,316652.51092797867,243.54194512358518,0
BTC,CNP,69822.69940476214,103.37850849686048,0
BTC,CDAY,6087886.080159457,37.385805816849505,0
BTC,CERN,302656.32222167816,190.84850457845053,0
BTC,CF,252470.14245422377,89.18722119960631,0
BTC,CRL,238895.86166364036,19.945877327854546,0
BTC,SCHW,262797.7940231559,103.57325113461417,0
BTC,CHTR,587749.4614676517,118.2754139040301,0
BTC,CVX,305680.9843572438,187.17053630935663,0
BTC,CMG,30138.173779458575,52.27136984028729,0
BTC,CB,258927.93468549493,94.40229568033051,0
BTC,CHD,232891.1607549912,125.72598178222023,0
BTC,CI,295746.24703491916,166.96389539813,0
BTC,CINF,306433.6457213467,179.28021465107003,0
BTC,CTAS,inf,28.555203304012725,0
BTC,CSCO,303005.8538332866,182.69822659520133,0
BTC,C,189288.99993803247,97.78729323288204,0
BTC,CFG,244703.53110000028,42.53458262450749,0
BTC,CTXS,316764.91697374854,253.92536275676838,0
BTC,CLX,296020.2166188855,181.6890767114258,0
BTC,CME,308420.1768464719,201.08403021033598,0
BTC,CMS,309164.9963526578,204.20681662137898,0
BTC,KO,280388.1825993779,166.70370688246894,0
BTC,CTSH,202085.47108608033,76.80730028831465,0
BTC,CL,281300.8381357955,164.40059456505526,0
BTC,CMCSA,106606.29944309713,87.76841756268348,0
BTC,CMA,103828.31777411944,43.79365789291792,0
BTC,CAG,298462.2710121828,184.9735041385523,0
BTC,COP,291675.2079303621,137.88807293751688,0
BTC,ED,318484.89463344973,258.12334263540436,0
BTC,STZ,77214.8573857474,101.07839209610401,0
BTC,COO,272663.597925804,136.44237862853225,0
BTC,CPRT,inf,38.369437745205246,0
BTC,GLW,47688.53164965917,21.498217772214936,0
BTC,CTVA,228792.325927587,69.43992317741788,0
BTC,COST,259409.1515388935,153.42374964596056,0
BTC,CTRA,317800.7474826383,256.7631399618421,0
BTC,CCI,309743.1181642865,205.65480915932116,0
BTC,CSX,inf,79.69300396221841,0
BTC,CMI,inf,42.49745943299959,0
BTC,CVS,285625.6998786021,163.09963233919441,0
BTC,DHI,inf,13.88088793162418,0
BTC,DHR,61871.3823850394,84.06785273304627,0
BTC,DRI,105681.77472650979,46.35967020615044,0
BTC,DVA,inf,87.29059625763625,0
BTC,DE,146151.11244271358,37.525458807699394,0
BTC,DAL,241236.8238616641,42.91293561053925,0
BTC,XRAY,249597.61741958695,107.65355756324888,0
BTC,DVN,259320.94643565282,88.23083681290967,0
BTC,DXCM,211938.89739035923,138.13712268756242,0
BTC,FANG,283205.67510764365,103.83521931777447,0
BTC,DLR,313440.6379685903,221.13379605706155,0
BTC,DFS,2141754.3300620145,61.534887199454886,0
BTC,DISCA,186028.3363954645,112.38766985128052,0
BTC,DISCK,206487.67477631665,105.99435350022677,0
BTC,DISH,inf,74.76239886333184,0
BTC,DIS,53366303.079373896,58.27770628184109,0
BTC,DG,251279.3255454751,154.85797077727037,0
BTC,DLTR,189525.22186492314,100.58401819622108,0
BTC,D,312532.8165568675,215.62694035829702,0
BTC,DPZ,309017.53175789135,203.07076923272427,0
BTC,DOV,157632.55087844323,81.4837810834874,0
BTC,DOW,inf,33.85188168592529,0
BTC,DTE,263771.614027506,136.45778322072078,0
BTC,DUK,305009.9088904719,194.59826682231665,0
BTC,DRE,287996.6551426661,148.1482385545197,0
BTC,DD,inf,37.90831021971159,0
BTC,DXC,112917.24736666634,54.22936449109609,0
BTC,EMN,inf,31.308397364889384,0
BTC,ETN,177498.111838856,60.3626714327462,0
BTC,EBAY,97666.69636677856,70.93881554459905,0
BTC,ECL,inf,137.57698692889363,0
BTC,EIX,312356.3781013662,217.21322750806428,0
BTC,EW,323901.47803423856,541.6275807485504,0
BTC,EA,220249.48778419627,141.27202907993706,0
BTC,EMR,1721650.6710600732,63.238313859959916,0
BTC,ENPH,867458.3016954922,654.3943395989131,0
BTC,ETR,309830.95400689216,206.13877340090852,0
BTC,EOG,295784.6982381935,140.80357412760623,0
BTC,EPAM,inf,25.897226142115457,0
BTC,EFX,68835.72784261027,109.2704461451153,0
BTC,EQIX,302719.82855572924,182.99334968115065,0
BTC,EQR,313775.2175580014,239.44054109938057,0
BTC,ESS,310859.21285086067,214.32349506412817,0
BTC,EL,60824.484054648674,62.63795183886618,0
BTC,ETSY,inf,154.43766684287962,0
BTC,RE,269179.35100856936,115.30273872945217,0
BTC,EVRG,316119.42941401195,235.40302071705742,0
BTC,ES,312064.13514405175,214.18704379291196,0
BTC,EXC,290681.4981921761,171.36059125591203,0
BTC,EXPE,inf,51.09908670620752,0
BTC,EXPD,2898574.090833048,98.19828086638277,0
BTC,EXR,271883.40003731457,114.80720173981985,0
BTC,XOM,305569.6778348106,186.06111640825884,0
BTC,FFIV,206131.7071889412,102.98851522524518,0
